Question id	Question name	Choice name	Assumption q id	Assumption q name	Assumption choice name	exposure
57	On November 2015, what will be the Top 500 performance share by vendor?	 SGI				-6.055
57	On November 2015, what will be the Top 500 performance share by vendor?	 Other 				15.195
320	When will a supersonic aircraft be available again for commercial travel?	2019 or before				55.475
320	When will a supersonic aircraft be available again for commercial travel?	 2020				-151.992
320	When will a supersonic aircraft be available again for commercial travel?	 2021				-151.992
320	When will a supersonic aircraft be available again for commercial travel?	 2022				-151.992
320	When will a supersonic aircraft be available again for commercial travel?	 after 2022				-245.208
834	On what date will Dolly be upgraded to a hurricane?	Before August 15, 2014				-54.473
834	On what date will Dolly be upgraded to a hurricane?	Between August 15-21, 2014				-54.473
834	On what date will Dolly be upgraded to a hurricane?	Between August 22-28, 2014				-54.473
834	On what date will Dolly be upgraded to a hurricane?	Between August 29-September 4, 2014				-54.473
834	On what date will Dolly be upgraded to a hurricane?	Will not be upgraded before September 5, 2014				88.513
758	A huge new hole or crater was recently discovered in a remote area in Siberia. What will the source of this hole be determined to be?	Underground natural gas explosion				8.024
758	A huge new hole or crater was recently discovered in a remote area in Siberia. What will the source of this hole be determined to be?	Pressure from meltwater built up beneath the tundra				8.024
758	A huge new hole or crater was recently discovered in a remote area in Siberia. What will the source of this hole be determined to be?	Meteorite				-12.153
758	A huge new hole or crater was recently discovered in a remote area in Siberia. What will the source of this hole be determined to be?	Other cause / no determination will be made by the deadline				2.477
321	How many near-Earth large asteroids will NASA detect in 2014?	10 or fewer				-9.215
321	How many near-Earth large asteroids will NASA detect in 2014?	 11-20				2.251
321	How many near-Earth large asteroids will NASA detect in 2014?	 21-40				2.251
321	How many near-Earth large asteroids will NASA detect in 2014?	 41-60				2.251
321	How many near-Earth large asteroids will NASA detect in 2014?	 more than 60				2.251
136	When will the Chinese National Space Administration land a man or woman on the moon?	By January 1 2022				22.246
136	When will the Chinese National Space Administration land a man or woman on the moon?	Between January 2 2022 and January 1 2024				22.246
136	When will the Chinese National Space Administration land a man or woman on the moon?	Between January 2 2024 and January 1 2026				22.246
136	When will the Chinese National Space Administration land a man or woman on the moon?	Not before January 2 2026				-10.69
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	Between 5.0 and 5.5 cycles per second				-4.461
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	Between 5.5 and 6.0 cycles per second				4.245
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	Between 6.0 and 6.5 cycles per second				4.245
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	Between 6.5 and 7.0 cycles per second				4.245
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	Between 7.0 and 7.5 cycles per second				4.245
384	Since 2009, the record speed for a robot performing the industry-standard pick-and-place test has been 5 cycles/second. What will be the fastest robotic pick-and-place rate achieved by the end of 2014?	More than 7.5 cycles per second				4.245
105	Will Amazon deliver its first package using an unmanned aerial vehicle by DEC 31 2017?	False				2.647
105	Will Amazon deliver its first package using an unmanned aerial vehicle by DEC 31 2017?	True				-3.171
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	Before 1 January 2015				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 January 2015 – 30 June 2015				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 July 2015 – 31 December 2015				5.417
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 January 2016 – 30 June 2016				12.619
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 July 2016 – 31 December 2016				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 January 2017  – 30 June 2017				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 July 2017 – 31 December 2017				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 January 2018 – 30 June 2018				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	1 July 2018 – 31 December 2018				-15.277
755	A 500-meter loop of elevated networked sky cars is planned to be built in Tel Aviv. When will it carry its first passenger?	Not before 1 January 2019				-15.277
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	NFL Hall of Fame Game (Aug. 3)				-26.313
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	Preseason Week 1 (Aug. 7-10)				9.952
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	Preseason Week 2 (Aug. 14-18)				-26.313
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	Preseason Week 3(Aug 21-24)				-26.313
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	Preseason Week 4 (Aug. 28)				-26.313
713	When will the Riddell SpeedFlex helmet - which includes a rubber and polyurethane lining for energy management - be worn by a player in a NFL preseason game?	Not During Preseason 2014				-26.313
823	How close will the closest near Earth object that is tracked by NASA come to Earth in the 60 days between August 2nd and September 30th 2014?	Less than 0.05 lunar distances				0.0
823	How close will the closest near Earth object that is tracked by NASA come to Earth in the 60 days between August 2nd and September 30th 2014?	Between 0.05 and 0.10 lunar distances				0.0
823	How close will the closest near Earth object that is tracked by NASA come to Earth in the 60 days between August 2nd and September 30th 2014?	Between 0.10 and 1.00 lunar distances				0.0
823	How close will the closest near Earth object that is tracked by NASA come to Earth in the 60 days between August 2nd and September 30th 2014?	Between 1.00 and 4.00 lunar distances				0.0
823	How close will the closest near Earth object that is tracked by NASA come to Earth in the 60 days between August 2nd and September 30th 2014?	4.00 lunar distances or greater				0.0
8	Which of the following will be found to contain graph non-isomorphism by 1 January 2018?	Shown to be in P				0.0
8	Which of the following will be found to contain graph non-isomorphism by 1 January 2018?	 Shown to be in NP but not shown to be in P				0.0
8	Which of the following will be found to contain graph non-isomorphism by 1 January 2018?	 Not shown to be in NP				0.0
208	How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?	Fewer than 530000				0.0
208	How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?	530000 to 540000				0.0
208	How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?	540001 to 550000				0.0
208	How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?	550001 to 560000				0.0
208	How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?	more than 560000				0.0
813	When will ZincPoly batteries being developed by Imprint Energy be used in a commercially available wearable electronic device?	By December 31, 2014				0.0
813	When will ZincPoly batteries being developed by Imprint Energy be used in a commercially available wearable electronic device?	Between January 1, 2015 - December 31, 2015				0.0
813	When will ZincPoly batteries being developed by Imprint Energy be used in a commercially available wearable electronic device?	Between January 1, 2016 - December 31, 2016				0.0
813	When will ZincPoly batteries being developed by Imprint Energy be used in a commercially available wearable electronic device?	Will not occur by January 1, 2017				0.0
511	Will the NASA Z-2 spacesuit be fully built by the end of November 2014? 	False				0.0
511	Will the NASA Z-2 spacesuit be fully built by the end of November 2014? 	True				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	By April 30, 2015				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Between May 1, 2015 and October 31, 2015				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Between November 1, 2015 and April 31, 2016				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Between May 1, 2016 and October 31, 2016				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Between November 1, 2016 and April 31, 2017				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Between May 1, 2017 and October 31, 2017				0.0
759	When will a handheld, flexible nanocellulose video screen be comercially available for sale?	Will not be available by November 1, 2017				0.0
652	What will be the next published efficiency over 5 meters at 20 kHz for an Inductive Power Transfer System?	False				0.0
652	What will be the next published efficiency over 5 meters at 20 kHz for an Inductive Power Transfer System?	True				0.0
28	Will a proof be published by 2050 showing Matrix Multiplication in O(n^{2+ε}) time, for every constant ε > 0?	False				0.0
28	Will a proof be published by 2050 showing Matrix Multiplication in O(n^{2+ε}) time, for every constant ε > 0?	True				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	No nuclear generation				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	less than 2 percent				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	from 2 percent up to 5 percent				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	from 5 percent up to 10 percent				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	from 10 percent to 20 percent				0.0
554	What percentage of Japan’s electricity generation in 2014 will come from nuclear power?	over 20 percent				0.0
587	When will UHD programming be available from Netflix on optical disc?	By the end of 2014				0.0
587	When will UHD programming be available from Netflix on optical disc?	January 2015 through June 2015				0.0
587	When will UHD programming be available from Netflix on optical disc?	July 2015 through December 2015				0.0
587	When will UHD programming be available from Netflix on optical disc?	Will not occur before January 1, 2016				0.0
181	When will the first Hyperloop-like system begin public operations?	Before 2020				0.0
181	When will the first Hyperloop-like system begin public operations?	JAN 1 2020 to DEC 31 2024				0.0
181	When will the first Hyperloop-like system begin public operations?	JAN 1 2025 to DEC 31 2029				0.0
181	When will the first Hyperloop-like system begin public operations?	JAN 1 2030 to DEC 31 2034				0.0
181	When will the first Hyperloop-like system begin public operations?	JAN 1 2035 to DEC 31 2039				0.0
181	When will the first Hyperloop-like system begin public operations?	None will begin public operations by DEC 31 2039				0.0
733	Will a Phase 1 clinical trial start recruiting participants before the end of 2014 for a study of the treatment of autism using suramin, a century-old treatment for sleeping sickness?	False				0.0
733	Will a Phase 1 clinical trial start recruiting participants before the end of 2014 for a study of the treatment of autism using suramin, a century-old treatment for sleeping sickness?	True				0.0
257	How will NOAA Fisheries' next minimum population estimate of California/Oregon/Washington offshore common bottlenose dolphins change from the 2010 stock assessment of 684 bottlenose dolphins?	Decrease by over 20 percent				0.003
257	How will NOAA Fisheries' next minimum population estimate of California/Oregon/Washington offshore common bottlenose dolphins change from the 2010 stock assessment of 684 bottlenose dolphins?	 decrease by 10 to 20 percent				0.003
257	How will NOAA Fisheries' next minimum population estimate of California/Oregon/Washington offshore common bottlenose dolphins change from the 2010 stock assessment of 684 bottlenose dolphins?	 decrease by 5 to less than 10 percent				0.003
257	How will NOAA Fisheries' next minimum population estimate of California/Oregon/Washington offshore common bottlenose dolphins change from the 2010 stock assessment of 684 bottlenose dolphins?	 decrease by 0 to less than 5 percent				0.003
257	How will NOAA Fisheries' next minimum population estimate of California/Oregon/Washington offshore common bottlenose dolphins change from the 2010 stock assessment of 684 bottlenose dolphins?	 increase				0.003
337	When will the Bitcoin blockchain first register over 150,000 transactions in a single day?	By July 31, 2014				0.0
337	When will the Bitcoin blockchain first register over 150,000 transactions in a single day?	August 1, 2014 - October 31, 2014				0.0
337	When will the Bitcoin blockchain first register over 150,000 transactions in a single day?	November 1, 2014 - January 31, 2015				0.0
337	When will the Bitcoin blockchain first register over 150,000 transactions in a single day?	February 1, 2015 - April 30, 2015				0.0
337	When will the Bitcoin blockchain first register over 150,000 transactions in a single day?	Will not occur before May 1, 2015				0.0
58	On November 2015, what will be the Top 500 performance share by geographic region?	North America				0.0
58	On November 2015, what will be the Top 500 performance share by geographic region?	Eastern Asia				0.0
58	On November 2015, what will be the Top 500 performance share by geographic region?	Western Europe				0.0
58	On November 2015, what will be the Top 500 performance share by geographic region?	Northern Europe				0.0
58	On November 2015, what will be the Top 500 performance share by geographic region?	Other				0.0
49	On November 2015, what will be the Top 500 performance share by cores per socket?	6 or smaller				0.0
49	On November 2015, what will be the Top 500 performance share by cores per socket?	 8				0.0
49	On November 2015, what will be the Top 500 performance share by cores per socket?	 10 or 12				0.0
49	On November 2015, what will be the Top 500 performance share by cores per socket?	 16				0.0
49	On November 2015, what will be the Top 500 performance share by cores per socket?	 over 16				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	Cosmology				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Gravitation physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 High-energy astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Planetary astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Plasma physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Space physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Stellar astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Solid state physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 High pressure physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Low-temperature physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Nanoscale and Mesoscopic physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Polymer physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Atomic physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Molecular physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Atomic and molecular astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Chemical physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Optics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Photonics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Accelerator physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Nuclear physics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Nuclear astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Particle astrophysics				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Particle physics phenomenology				0.0
107	In which of the following subfields will the 2014 Nobel Prize in Physics be awarded?	 Other				0.0
406	Will the scientists at the Harvard-Smithsonian Center for Astrophysics who reported the discovery of gravitational waves be awarded a Nobel Prize in Physics for this work within the next 5 years?	False				0.0
406	Will the scientists at the Harvard-Smithsonian Center for Astrophysics who reported the discovery of gravitational waves be awarded a Nobel Prize in Physics for this work within the next 5 years?	True				0.0
74	In which of the following branches will the 2014 Nobel Prize in Physics be awarded?	Particle physics				0.0
74	In which of the following branches will the 2014 Nobel Prize in Physics be awarded?	Atomic/Molecular/Optical physics				0.0
74	In which of the following branches will the 2014 Nobel Prize in Physics be awarded?	Condensed matter physics				0.0
74	In which of the following branches will the 2014 Nobel Prize in Physics be awarded?	Astrophysics				0.0
74	In which of the following branches will the 2014 Nobel Prize in Physics be awarded?	Other				0.0
164	In which of the following fields will the 2014 Nobel Prize in Physics be awarded?	Particle Physics				0.0
164	In which of the following fields will the 2014 Nobel Prize in Physics be awarded?	Atomic/Molecular/Optical Physics				0.0
164	In which of the following fields will the 2014 Nobel Prize in Physics be awarded?	Condensed Matter Physics				0.0
164	In which of the following fields will the 2014 Nobel Prize in Physics be awarded?	Astrophysics				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Analytical chemistry				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Inorganic chemistry				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Organic chemistry				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Biochemistry				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Physical chemistry				0.0
75	In which branch will the 2014 Nobel Prize in Chemistry be awarded?	Other				0.0
5	If the 2014 Nobel Prize in Chemistry is awarded in the branch of Organic Chemistry or Inorganic Chemistry, will at least one of the following individuals be awarded the prize: George Whitesides, James Stoddart, Omar Yaghi, Michael Gratzel, Chad Mirkin?	False				0.0
5	If the 2014 Nobel Prize in Chemistry is awarded in the branch of Organic Chemistry or Inorganic Chemistry, will at least one of the following individuals be awarded the prize: George Whitesides, James Stoddart, Omar Yaghi, Michael Gratzel, Chad Mirkin?	True				0.0
124	Will Roberto Peccei and Helen Quinn be awarded the Nobel Prize in 2015?	False				0.0
124	Will Roberto Peccei and Helen Quinn be awarded the Nobel Prize in 2015?	True				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	Electrochemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Photochemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Surface chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Chemical kinetics				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Thermodynamics/Thermochemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Quantum mechanics/Quantum chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Spectroscopy				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Stereochemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Medicinal chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Organometallic chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Physical organic chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Polymer chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Bioinorganic chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Coordination chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Geochemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Inorganic technology				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Nuclear chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Solid-state chemistry/materials chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Synthetic inorganic chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Industrial inorganic chemistry				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Enzymology				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Endocrinology				0.0
108	In which of the following sub-branches will the 2014 Nobel Prize in Chemistry be awarded?	 Clinical biochemistry				0.0
